plate,pole_x,pole_y,pole_z,omega,isOcean,origIsOcean,density,densityLand,densityOcean
1424,0.897136857,0.027268627,-0.440910288,0.965605536,0,0,2.655695,2.655695,3.301675
13763,0.604320092,-0.785990738,0.130444569,1.536404752,1,1,3.398462,2.848807,3.398462
14129,-0.26638822,0.961755533,0.063746462,-0.790091891,1,1,3.219592,2.581863,3.219592
19867,0.136549763,0.784550528,0.604842649,0.942808728,1,1,3.062882,2.765677,3.062882
5007,-0.01639287,0.599296427,0.800359336,0.979515513,1,1,3.210443,2.817007,3.210443
8209,-0.213631944,-0.620178772,0.754811025,1.331674273,1,1,3.252133,2.498005,3.252133
5559,0.559244107,-0.005836286,-0.828982489,-0.718490962,1,1,3.301328,2.816042,3.301328
13349,0.722570396,0.11684471,0.681351111,0.851093471,1,1,3.330298,2.724531,3.330298
17881,-0.514161727,-0.37582216,0.770970442,-1.025166865,1,1,3.279373,2.82893,3.279373
16500,-0.352022208,-0.738053799,0.57563613,-1.787334742,1,1,3.015765,2.864858,3.015765
7836,0.297451541,0.347505536,-0.889248269,1.553273626,1,1,3.176227,2.749563,3.176227
8604,-0.019336333,0.755769538,-0.654552146,-1.956577152,1,1,3.128762,2.509091,3.128762
501,0.015139764,-0.571545326,-0.820430819,0.514432284,1,1,3.207678,2.841185,3.207678
2951,0.326255029,0.943857661,0.051868794,1.069116128,1,1,3.379177,2.726396,3.379177
989,-0.120210365,-0.659356145,0.7421583,0.840912628,1,1,3.469185,2.48526,3.469185
12379,-0.919160387,0.389045789,-0.061543129,-0.983473834,0,0,2.735284,2.735284,3.025664
3463,0.477016653,0.755150768,0.449669245,0.943255253,1,1,3.0142,2.566081,3.0142
8043,-0.780896632,0.454049199,0.428998573,1.384267568,0,0,2.561701,2.561701,3.210309
1986,-0.049205711,-0.567974282,-0.821574107,-1.103002888,1,1,3.256525,2.819568,3.256525
18016,0.700559771,0.708770364,-0.082828604,-1.174748784,0,0,2.554238,2.554238,3.192905
12060,0.812929201,-0.330088117,-0.479779062,1.514983526,1,1,3.415171,2.676964,3.415171
18704,0.078327061,-0.166571693,-0.982913395,1.380934601,1,1,3.233718,2.495064,3.233718
4510,0.437516536,-0.460084044,0.772594301,-1.994311724,1,1,3.121368,2.724578,3.121368
11143,0.793872388,-0.600165024,-0.097819098,-1.215816809,1,1,3.039553,2.661357,3.039553
17201,-0.226122312,0.255248786,0.940062103,0.967821745,1,1,3.029733,2.619974,3.029733
15050,-0.570529449,0.448939755,-0.687713054,0.955039528,1,1,3.240796,2.463406,3.240796
372,-0.01835221,-0.134309365,0.990769494,-1.147168285,1,1,3.012525,2.41478,3.012525
10424,-0.149255825,-0.18694365,0.970965896,-0.517857884,1,1,3.370447,2.509533,3.370447
12567,-0.529439052,0.826581472,0.190938109,-0.572600429,0,0,2.434231,2.434231,3.368212
8300,0.531286476,-0.501278115,0.68297506,1.821377067,1,1,3.064217,2.698028,3.064217
3372,0.290921582,0.246829321,-0.924359194,1.471281976,1,1,3.202116,2.866059,3.202116
3699,-0.977527706,0.182967659,0.104701573,-1.03950991,0,0,2.656249,2.656249,3.103782
